date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:07	9819178/9819178	---M--	200	added ('OK')	video/mp4	etag:%2295d42a-691cf03c-16c05bd;;;%22	https://www.Shabundagoldminers.com/assets/videos/testing.mp4	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/videos/testing.mp4	(from https://www.Shabundagoldminers.com/)
16:08:07	301031/301031	---M--	200	added ('OK')	image/jpeg	etag:%22497e7-68f75ac7-16c0d63;;;%22	https://www.Shabundagoldminers.com/assets/images/slide11.jpg	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/slide11.jpg	(from https://www.Shabundagoldminers.com/)
16:08:08	329384/329384	---M--	200	added ('OK')	image/jpeg	etag:%22506a8-68f75ac7-16c0d68;;;%22	https://www.Shabundagoldminers.com/assets/images/slide2.jpg	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/slide2.jpg	(from https://www.Shabundagoldminers.com/)
16:08:08	23784/23784	---M-Z	200	added ('OK')	text/javascript	etag:%225ce8-68f12abb-16c0b54;gz%22	https://www.Shabundagoldminers.com/assets/js/script.js	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/js/script.js	(from https://www.Shabundagoldminers.com/)
16:08:08	308823/308823	---M--	200	added ('OK')	image/jpeg	etag:%224b657-68f758ec-16c0ac4;;;%22	https://www.Shabundagoldminers.com/assets/images/chair.jpg	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/chair.jpg	(from https://www.Shabundagoldminers.com/)
16:08:08	253094/253094	---M--	200	added ('OK')	image/jpeg	etag:%223dca6-691d9303-16c089e;;;%22	https://www.Shabundagoldminers.com/assets/images/legalad.jpg	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/legalad.jpg	(from https://www.Shabundagoldminers.com/)
16:08:08	34800/34800	---M--	200	added ('OK')	image/jpeg	etag:%2287f0-691d96ba-16c05bc;;;%22	https://www.Shabundagoldminers.com/assets/images/patrick.jpg	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/patrick.jpg	(from https://www.Shabundagoldminers.com/)
16:08:09	20182/20182	---M--	200	added ('OK')	image/jpeg	etag:%224ed6-68f8adfb-16c09da;;;%22	https://www.Shabundagoldminers.com/assets/images/mwamba.jpg	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/mwamba.jpg	(from https://www.Shabundagoldminers.com/)
16:08:09	167504/167504	---M--	200	added ('OK')	image/png	etag:%2228e50-68f8adfb-16c10cd;;;%22	https://www.Shabundagoldminers.com/assets/images/chantal.png	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/chantal.png	(from https://www.Shabundagoldminers.com/)
16:08:09	36925/36925	---M--	200	added ('OK')	application/octet-stream	etag:%22903d-68f8adfb-16c0eda;;;%22	https://www.Shabundagoldminers.com/assets/images/juliene.jfif	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/juliene.jfif	(from https://www.Shabundagoldminers.com/)
16:08:09	32490/32490	---M--	200	added ('OK')	image/jpeg	etag:%227eea-68f8adfb-16c0ed9;;;%22	https://www.Shabundagoldminers.com/assets/images/andre.jpg	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/andre.jpg	(from https://www.Shabundagoldminers.com/)
16:08:10	47130/47130	---M--	200	added ('OK')	application/octet-stream	etag:%22b81a-68f8adfb-16c0ee5;;;%22	https://www.Shabundagoldminers.com/assets/images/david.jfif	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/david.jfif	(from https://www.Shabundagoldminers.com/)
16:08:11	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/My%20Web%20Sites/gold/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://www.Shabundagoldminers.com/)
16:08:11	50/50	---M--	200	added ('OK')	application/json	date:Wed,%2031%20Dec%202025%2013:08:11%20GMT	https://www.Shabundagoldminers.com/ajax-track-whatsapp.php	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/ajax-track-whatsapp.json	(from https://www.Shabundagoldminers.com/)
16:08:11	77/77	---M--	200	added ('OK')	application/json	date:Wed,%2031%20Dec%202025%2013:08:11%20GMT	https://www.Shabundagoldminers.com/ajax-track-visitor.php	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/ajax-track-visitor.json	(from https://www.Shabundagoldminers.com/)
16:08:12	1249/1249	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Dec%202025%2013:08:12%20GMT	https://www.Shabundagoldminers.com/assets/images/impact-bg.jpg	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/impact-bg.jpg	(from https://www.Shabundagoldminers.com/assets/css/style.css)
16:08:12	1249/1249	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Dec%202025%2013:08:12%20GMT	https://www.Shabundagoldminers.com/assets/images/slide1.JPG	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/slide1-2.JPG	(from https://www.Shabundagoldminers.com/assets/css/style.css)
16:08:13	87784/87784	---M--	200	added ('OK')	image/png	etag:%22156e8-68f749f5-16c0ba5;;;%22	https://www.Shabundagoldminers.com/favicon.png	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/favicon.png	(from https://www.Shabundagoldminers.com/)
16:08:13	213506/213506	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Dec%202025%2013:08:12%20GMT	https://www.Shabundagoldminers.com/index.php	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/index-2.html	(from https://www.Shabundagoldminers.com/partnership.php)
16:08:14	56014/56014	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Dec%202025%2013:08:13%20GMT	https://www.Shabundagoldminers.com/leadership.php	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/leadership.php	(from https://www.Shabundagoldminers.com/partnership.php)
16:08:14	1249/1249	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Dec%202025%2013:08:14%20GMT	https://www.Shabundagoldminers.com/assets/images/pattern.png	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/pattern.png	(from https://www.Shabundagoldminers.com/leadership.php)
16:08:14	1249/1249	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Dec%202025%2013:08:14%20GMT	https://www.Shabundagoldminers.com/assets/images/legal.jpg	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/legal.jpg	(from https://www.Shabundagoldminers.com/leadership.php)
16:08:15	298044/298044	---M--	200	added ('OK')	image/jpeg	etag:%2248c3c-68f75ca7-16c066a;;;%22	https://www.Shabundagoldminers.com/assets/images/underground.jpg	C:/My%20Web%20Sites/gold/www.Shabundagoldminers.com/assets/images/underground.jpg	(from https://www.Shabundagoldminers.com/leadership.php)
